Org,Api,Status,Count
Parcel Monkey / Cloud Fulfulment,Tracking API LIVE (SOAP),500 Error,17
RMG Onboarding,Local Collect API LIVE (REST),401,5
Connectix,Shipping API V2 Live (SOAP),200 OK,9
Superb,Local Collect API LIVE (REST),200,12
,Delivery Office Finder API (REST),200 OK,4
IT,Shipping API V2 Live (SOAP),500 Internal Server Error,9128
Micro Data Systems Ltd,Shipping API V2 Live (SOAP),200 OK,65
Enru Technology,Local Collect API LIVE (REST),201,1
,Local Collect API LIVE (REST),200 OK,7
RMG Onboarding,Local Collect API LIVE (REST),200,4
sailvan network,Shipping API V2 (SOAP),200 OK,34
Mister Auto,Shipping API V2 Live (SOAP),200 OK,124
ServiceNow,PFW Tracking API (SOAP) LIVE,200 OK,4
Royal Mail - APIs,Shipping API V2 (SOAP),200 OK,14
forward2me Ltd,Shipping API V2 Live (SOAP),500 Internal Server Error,1
Born Interactive,Tracking API LIVE (SOAP),401,142
ApoyarA1,Shipping API V2 (SOAP),200 OK,9
Total Care & Support LTD,Shipping API V2 Live (SOAP),200 OK,51
Canford Audio plc,Shipping API V2 (SOAP),200 OK,7
Andrews and Arnold,Tracking API (REST),500,5
Sound Solutions Internet,Shipping API V2 Live (SOAP),200 OK,6
Royal Mail - APIs,Shipping API V2 (SOAP),500 Error,1
Jewellerybox Ltd,Shipping API V2 (SOAP),200 OK,1
Sleeptwitch,Shipping API V2 Live (SOAP),200 OK,16
Faststream,Shipping API V2 Live (SOAP),200 OK,3
Cyber-Duck,Shipping API V2 (SOAP),401,1
Flaydemouse,Tracking API LIVE (REST),500,2
MDT,Shipping API V2 (SOAP),200 OK,2
SilkFred Ltd.,Shipping API V2 Live (SOAP),200 OK,23
Net Curtains Direct Ltd,Shipping API V2 Live (SOAP),500 Internal Server Error,1
Mc Manager Ltd,Shipping API V2 (SOAP),200 OK,4
The Alchemists Cupboard Ltd,Shipping API V2 Live (SOAP),500 Internal Server Error,2
,Tracking API LIVE (REST),200 OK,5
SMART MEN'S CLUB SA,Shipping API V2 Live (SOAP),500,1
Monarch Software,Shipping API V2 Live (SOAP),500,1
Neopost,Local Collect API (SOAP),500,1
Suggero360 UK Ltd,Tracking API LIVE (SOAP),500,2
Eretail Distribution Ltd,Tracking API LIVE (SOAP),500,1
DTDC Courier & Cargo UK Ltd,Tracking API LIVE (SOAP),500,1
Universal Textiles,Shipping API V2 (SOAP),200 OK,1
